id,field,old,new,rule
satz_a1_0218,targetKo,중요한 문장은 빨리 필기하다 보면 손이 아파요.,중요한 문장을 빨리 필기하면 손이 아파요.,mirrors vocab_a1_0366
satz_a1_0218,promptDe,"Wenn ich wichtige Sätze schnell mitschreibe, tun die Hände weh.","Wenn ich wichtige Sätze schnell mitschreibe, tut mir die Hand weh.",mirrors vocab_a1_0366
satz_a1_0218,promptEn,"If I take notes on important sentences quickly, my hands hurt.","If I take notes on important sentences quickly, my hand hurts.",mirrors vocab_a1_0366
satz_a2_0320,targetKo,여기서 곧장 가시면 돼요.,여기서 곧장 가세요.,mirrors vocab_a2_0106
satz_a2_0349,targetKo,매달 조금씩이라도 저축하려고 해요.,매달 조금씩 저축하려고 해요.,mirrors vocab_a2_0160
satz_a2_0349,promptDe,"Ich versuche, jeden Monat wenigstens etwas zu sparen.","Ich versuche, jeden Monat ein wenig zu sparen.",mirrors vocab_a2_0160
satz_a2_0349,promptEn,I try to save at least a little every month.,I try to save a little every month.,mirrors vocab_a2_0160
satz_a2_0039,targetKo,어디서 오셨어요 하시길래 독일 베를린이라고 했어요.,어디서 오셨어요? 독일 베를린이에요.,mirrors vocab_a2_0269
satz_a2_0039,promptDe,"Sie fragten, woher ich komme, also sagte ich Berlin.",Woher kommen Sie? Aus Berlin in Deutschland.,mirrors vocab_a2_0269
satz_a2_0039,promptEn,"They asked where I am from, so I said Berlin in Germany.","Where are you from? Berlin, Germany.",mirrors vocab_a2_0269
satz_a2_0042,targetKo,언제 왔어요 하시길래 재작년이라고 했어요.,언제 왔어요? 재작년에 왔어요.,mirrors vocab_a2_0272
satz_a2_0042,promptDe,"Auf die Frage, wann ich gekommen sei, sagte ich: vorletztes Jahr.",Wann sind Sie gekommen? Vorletztes Jahr.,mirrors vocab_a2_0272
satz_a2_0042,promptEn,"When they asked when I came over, I said the year before last.",When did you come? The year before last.,mirrors vocab_a2_0272
satz_a2_0044,targetKo,소개팅이 아니라 동아리에서 만났다고 했어요.,소개팅이 아니라 동아리에서 만났어요.,mirrors vocab_a2_0274
satz_a2_0044,promptEn,"I said we met in a club, not on a set-up date.","We met in a club, not on a set-up date.",mirrors vocab_a2_0274
satz_a2_0049,targetKo,음식 취향을 묻길래 매운 건 조금 먹는다고 했어요.,제 음식 취향을 물어봤어요. 매운 건 조금만 먹어요.,mirrors vocab_a2_0279
satz_a2_0049,promptDe,"Nach den Vorlieben gefragt sagte ich, Scharfes esse ich wenig.",Sie fragten nach meinen Essensvorlieben. Scharfes esse ich nur wenig.,mirrors vocab_a2_0279
satz_a2_0049,promptEn,"They asked about my food preferences, so I said I can only handle a little spice.",They asked about my food preferences. I only eat a little spicy food.,mirrors vocab_a2_0279
satz_a2_0052,targetKo,떡국 먹다 보면 한 살이 는다는 농담을 들었어요.,떡국을 먹으면 나이를 한 살 더 먹어요.,mirrors vocab_a2_0282
satz_a2_0052,promptDe,"Beim Essen hörte ich den Witz, man werde ein Jahr älter.","Wenn man die Reiskuchensuppe isst, wird man ein Jahr älter.",mirrors vocab_a2_0282
satz_a2_0052,promptEn,While eating the soup I heard the joke that you gain a year.,"If you eat the rice-cake soup, you turn one year older.",mirrors vocab_a2_0282
satz_a2_0058,targetKo,세배 영상은 가족 앨범에만 두래요.,세배 영상은 가족 앨범에만 둬요.,mirrors vocab_a2_0288
satz_a2_0058,promptDe,Das Video sollte nur ins Familienalbum.,Das Video kommt nur ins Familienalbum.,mirrors vocab_a2_0288
satz_a2_0058,promptEn,They said keep the bowing video in the family album only.,The bowing video only goes in the family album.,mirrors vocab_a2_0288
satz_a2_0062,targetKo,새해 목표를 묻길래 한국어 일기라고 했어요.,제 새해 목표는 한국어 일기예요.,mirrors vocab_a2_0292
satz_a2_0062,promptDe,Nach dem Vorsatz gefragt sagte ich koreanisches Tagebuch.,Mein Neujahrsvorsatz ist ein koreanisches Tagebuch.,mirrors vocab_a2_0292
satz_a2_0062,promptEn,"They asked for a new-year goal, so I said a Korean diary.",My new year's goal is a Korean diary.,mirrors vocab_a2_0292
satz_a2_0065,targetKo,보름달을 보며 소원을 말하래요.,보름달을 보면서 소원을 말해요.,mirrors vocab_a2_0295
satz_a2_0065,promptDe,Beim Vollmond sollte ich einen Wunsch sagen.,Beim Vollmond macht man einen Wunsch.,mirrors vocab_a2_0295
satz_a2_0065,promptEn,They told me to make a wish looking at the full moon.,You make a wish while looking at the full moon.,mirrors vocab_a2_0295
satz_a2_0090,targetKo,아침 인사는 일어나자마자 큰 소리로 했어요.,아침 인사는 일어나서 바로 크게 했어요.,mirrors vocab_a2_0320
satz_a2_0090,promptDe,Guten Morgen sagte ich laut gleich nach dem Aufstehen.,Den Morgengruß habe ich gleich nach dem Aufstehen laut gesagt.,mirrors vocab_a2_0320
satz_a2_0090,promptEn,I said good morning loudly as soon as I got up.,I said my morning greeting loudly right after getting up.,mirrors vocab_a2_0320
satz_a2_0115,targetKo,김치를 짐 부치려다 안 된다고 해서 무릎 위에 올렸어요.,김치는 짐으로 부칠 수 없어서 무릎 위에 올렸어요.,mirrors vocab_a2_0345
satz_a2_0115,promptDe,"Das Kimchi durfte ich nicht aufgeben, also kam es auf meine Knie.","Das Kimchi durfte ich nicht als Gepäck aufgeben, also kam es auf meine Knie.",mirrors vocab_a2_0345
satz_a2_0115,promptEn,"I wasn't allowed to check the kimchi, so it rode on my lap.","I couldn't check the kimchi as luggage, so it rode on my lap.",mirrors vocab_a2_0345
satz_a2_0119,targetKo,집 마당에 개가 있어서 그냥 앉아 있으라고 하셨어요.,집 마당에 개가 있어서 그냥 앉아 있었어요.,mirrors vocab_a2_0349
satz_a2_0119,promptDe,"Im Hof war ein Hund, also sollte ich einfach sitzen bleiben.","Im Hof war ein Hund, also blieb ich einfach sitzen.",mirrors vocab_a2_0349
satz_a2_0119,promptEn,"There was a dog in the yard, so they told me to just stay seated.","There was a dog in the yard, so I just stayed seated.",mirrors vocab_a2_0349
satz_a2_0120,targetKo,밤참으로 과일만 달라고 했는데 라면이 나왔어요.,밤참으로 과일만 부탁했는데 라면이 나왔어요.,mirrors vocab_a2_0350
satz_a2_0120,promptDe,"Als Spätimbiss wollte ich nur Obst, aber es kam Ramyeon.","Als Spätimbiss bat ich nur um Obst, aber es kam Ramyeon.",mirrors vocab_a2_0350
satz_a2_0120,promptEn,"I asked only for fruit as a late snack, but ramyeon appeared.","I asked for only fruit as a late snack, but ramyeon came out.",mirrors vocab_a2_0350
satz_a2_0122,targetKo,서울 도착하자마자 안부 전화를 드렸어요.,서울에 도착해서 바로 안부 전화를 드렸어요.,mirrors vocab_a2_0352
satz_a2_0122,promptDe,"Kaum in Seoul, rief ich an, dass wir gut angekommen sind.","Ich bin in Seoul angekommen und habe sofort angerufen, dass wir gut angekommen sind.",mirrors vocab_a2_0352
satz_a2_0122,promptEn,As soon as we reached Seoul I made the safe-arrival call.,I arrived in Seoul and called right away to say we'd arrived safely.,mirrors vocab_a2_0352
satz_a1_0243,targetKo,일교차가 클 때는 옷을 겹쳐 입다 해요.,일교차가 클 때는 옷을 겹쳐 입어요.,mirrors vocab_a1_0391
satz_a2_0308,targetKo,여기서 뭐가 제일 맛있어요?,여기서 뭐 추천해요?,mirrors vocab_a2_0089
satz_a2_0308,promptDe,Was schmeckt hier am besten?,Was empfehlen Sie hier?,mirrors vocab_a2_0089
satz_a2_0308,promptEn,What's best here?,What do you recommend here?,mirrors vocab_a2_0089
cloze_a2_0089,answer,떡국 먹다,떡국을 먹으면,cloze answer aligned to conjugated form actually present after grammar fix
cloze_a2_0089,sentenceKo,＿＿＿ 보면 한 살이 는다는 농담을 들었어요.,＿＿＿ 나이를 한 살 더 먹어요.,manual re-blank after grammar fix
cloze_a2_0152,answer,짐 부치,짐으로 부칠,cloze answer aligned to conjugated form actually present after grammar fix
cloze_a2_0152,sentenceKo,김치를 ＿＿＿려다 안 된다고 해서 무릎 위에 올렸어요.,김치는 ＿＿＿ 수 없어서 무릎 위에 올렸어요.,manual re-blank after grammar fix
cloze_a1_0254,answer,필기하다,필기하면,cloze answer aligned to conjugated form actually present after grammar fix
cloze_a1_0254,sentenceKo,중요한 문장은 빨리 ＿＿＿ 보면 손이 아파요.,중요한 문장을 빨리 ＿＿＿ 손이 아파요.,manual re-blank after grammar fix
cloze_a1_0279,answer,겹쳐 입다,겹쳐 입어요,cloze answer aligned to conjugated form actually present after grammar fix
cloze_a1_0279,sentenceKo,일교차가 클 때는 옷을 ＿＿＿ 해요.,일교차가 클 때는 옷을 ＿＿＿.,manual re-blank after grammar fix
vocab_a1_0239,example_korean,윗목이 서늘해서 아래로 앉았어요.,윗목이 서늘해서 아랫목에 앉았어요.,Fable round-2: use sibling headword 아랫목 instead of unidiomatic '아래로 앉았어요'
vocab_a1_0239,example_german,"Der obere Teil des Zimmers war kühl, deshalb setzte ich mich weiter unten hin.","Der obere Teil des Zimmers war kühl, deshalb setzte ich mich auf den warmen Platz am Boden.",Fable round-2: use sibling headword 아랫목 instead of unidiomatic '아래로 앉았어요'
vocab_a1_0239,example_english,"The upper part of the room was cool, so I sat down further below.","The upper part of the room was cool, so I sat on the warm spot on the floor.",Fable round-2: use sibling headword 아랫목 instead of unidiomatic '아래로 앉았어요'
cloze_a1_0127,fullKo,윗목이 서늘해서 아래로 앉았어요.,윗목이 서늘해서 아랫목에 앉았어요.,mirrors vocab_a1_0239 (Fable round-2: use sibling headword 아랫목 instead of unidiomatic '아래로 앉았어요')
cloze_a1_0127,sentenceKo,＿＿＿이 서늘해서 아래로 앉았어요.,＿＿＿이 서늘해서 아랫목에 앉았어요.,mirrors vocab_a1_0239 (re-blanked)
cloze_a1_0127,de,"Der obere Teil des Zimmers war kühl, deshalb setzte ich mich weiter unten hin.","Der obere Teil des Zimmers war kühl, deshalb setzte ich mich auf den warmen Platz am Boden.",mirrors vocab_a1_0239
cloze_a1_0127,en,"The upper part of the room was cool, so I sat down further below.","The upper part of the room was cool, so I sat on the warm spot on the floor.",mirrors vocab_a1_0239
satz_a1_0091,targetKo,윗목이 서늘해서 아래로 앉았어요.,윗목이 서늘해서 아랫목에 앉았어요.,mirrors vocab_a1_0239 (Fable round-2: use sibling headword 아랫목 instead of unidiomatic '아래로 앉았어요')
satz_a1_0091,promptDe,"Der obere Teil des Zimmers war kühl, deshalb setzte ich mich weiter unten hin.","Der obere Teil des Zimmers war kühl, deshalb setzte ich mich auf den warmen Platz am Boden.",mirrors vocab_a1_0239
satz_a1_0091,promptEn,"The upper part of the room was cool, so I sat down further below.","The upper part of the room was cool, so I sat on the warm spot on the floor.",mirrors vocab_a1_0239
cloze_a1_0127,distractors[0],아랫목,부엌,"distractor '아랫목' now appears in the sentence remainder after the 아랫목 rewording -- swapped for 부엌 (vocab_a2_0142, also batchim-final, matches distractor_rules.py particle-hiding contract)"
